respondent_id,education_level,study_hours_per_day,preferred_learning_method,main_learning_challenge,motivation_level,online_learning_opinion,device_used_for_study
2317,Undergraduate,6,Video lectures,Internet connectivity issues,Medium,Online platforms provide access to diverse resources,Laptop
2318,Postgraduate,2,Interactive discussion,Internet connectivity issues,Low,Blended learning is more effective than fully online,Laptop
2319,Graduate,2,Reading notes,Difficulty understanding concepts,Low,Online learning is flexible and convenient,Mobile
2320,Postgraduate,3,Practice exercises,Difficulty understanding concepts,Low,Online learning is effective for theory-based subjects,Mobile
2321,Undergraduate,4,Interactive discussion,Lack of concentration,High,Online platforms provide access to diverse resources,Laptop
2322,Graduate,2,Video lectures,Lack of concentration,Medium,Blended learning is more effective than fully online,Laptop
2323,Undergraduate,1,Reading notes,Internet connectivity issues,High,Online platforms provide access to diverse resources,Tablet
2324,Postgraduate,1,Video lectures,Lack of concentration,Medium,Online platforms provide access to diverse resources,Mobile
2325,Postgraduate,1,Practice exercises,Time management difficulty,Medium,Online learning is flexible and convenient,Mobile
2326,Graduate,1,Recorded tutorials,Internet connectivity issues,Medium,Online platforms provide access to diverse resources,Mobile
2327,Undergraduate,4,Interactive discussion,Lack of concentration,Low,Online platforms provide access to diverse resources,Tablet
2328,Undergraduate,2,Reading notes,Academic workload pressure,High,Blended learning is more effective than fully online,Tablet
2329,Graduate,3,Recorded tutorials,Internet connectivity issues,Low,Online learning is effective for theory-based subjects,Laptop
2330,Graduate,2,Video lectures,Difficulty understanding concepts,Low,Online learning is flexible and convenient,Mobile
2331,Graduate,1,Recorded tutorials,Low motivation,Low,Online learning is flexible and convenient,Mobile
2332,Postgraduate,1,Reading notes,Difficulty understanding concepts,Medium,Blended learning is more effective than fully online,Mobile
2333,Undergraduate,3,Reading notes,Internet connectivity issues,Medium,Online learning is flexible and convenient,Mobile
2334,Graduate,5,Interactive discussion,Lack of concentration,Low,Online platforms provide access to diverse resources,Laptop
2335,Postgraduate,4,Reading notes,Lack of concentration,Low,Blended learning is more effective than fully online,Mobile
2336,Graduate,2,Practice exercises,Time management difficulty,Medium,Online learning is flexible and convenient,Mobile
2337,Postgraduate,5,Interactive discussion,Time management difficulty,Low,Online learning is flexible and convenient,Laptop
2338,Undergraduate,3,Reading notes,Time management difficulty,High,Online learning requires strong self-discipline,Mobile
2339,Undergraduate,4,Recorded tutorials,Lack of concentration,Low,Online learning is effective for theory-based subjects,Laptop
2340,Graduate,2,Reading notes,Academic workload pressure,Medium,Online platforms provide access to diverse resources,Laptop
2341,Undergraduate,4,Reading notes,Internet connectivity issues,High,Online learning requires strong self-discipline,Tablet
2342,Graduate,6,Interactive discussion,Time management difficulty,Medium,Online learning requires strong self-discipline,Mobile
2343,Postgraduate,6,Recorded tutorials,Difficulty understanding concepts,Low,Online learning is effective for theory-based subjects,Mobile
2344,Graduate,6,Reading notes,Lack of concentration,Low,Blended learning is more effective than fully online,Tablet
2345,Undergraduate,1,Recorded tutorials,Low motivation,High,Blended learning is more effective than fully online,Mobile
2346,Graduate,3,Recorded tutorials,Difficulty understanding concepts,Low,Online learning requires strong self-discipline,Mobile
2347,Postgraduate,5,Recorded tutorials,Academic workload pressure,High,Online learning is flexible and convenient,Mobile
2348,Graduate,1,Video lectures,Time management difficulty,Medium,Blended learning is more effective than fully online,Tablet
2349,Graduate,3,Video lectures,Difficulty understanding concepts,Low,Online learning is flexible and convenient,Laptop
2350,Graduate,2,Video lectures,Lack of concentration,Medium,Online platforms provide access to diverse resources,Laptop
2351,Graduate,5,Video lectures,Time management difficulty,High,Online learning requires strong self-discipline,Laptop
2352,Postgraduate,1,Recorded tutorials,Difficulty understanding concepts,High,Online learning requires strong self-discipline,Laptop
2353,Postgraduate,1,Practice exercises,Lack of concentration,Medium,Online platforms provide access to diverse resources,Tablet
2354,Undergraduate,1,Recorded tutorials,Low motivation,Medium,Online learning is flexible and convenient,Laptop
2355,Postgraduate,1,Reading notes,Low motivation,Low,Online learning is flexible and convenient,Laptop
2356,Graduate,4,Interactive discussion,Internet connectivity issues,High,Online learning requires strong self-discipline,Mobile
2357,Undergraduate,6,Recorded tutorials,Internet connectivity issues,High,Blended learning is more effective than fully online,Mobile
2358,Graduate,3,Practice exercises,Difficulty understanding concepts,High,Blended learning is more effective than fully online,Laptop
2359,Undergraduate,5,Reading notes,Internet connectivity issues,Low,Online learning is effective for theory-based subjects,Tablet
2360,Undergraduate,4,Reading notes,Internet connectivity issues,High,Online learning requires strong self-discipline,Laptop
2361,Graduate,2,Reading notes,Academic workload pressure,High,Online learning requires strong self-discipline,Tablet
2362,Undergraduate,1,Interactive discussion,Internet connectivity issues,High,Online learning is flexible and convenient,Mobile
2363,Postgraduate,6,Recorded tutorials,Lack of concentration,High,Online learning is flexible and convenient,Tablet
2364,Undergraduate,1,Recorded tutorials,Difficulty understanding concepts,High,Blended learning is more effective than fully online,Laptop
2365,Undergraduate,4,Practice exercises,Difficulty understanding concepts,High,Blended learning is more effective than fully online,Tablet
2366,Graduate,1,Video lectures,Low motivation,High,Online learning is flexible and convenient,Mobile
2367,Postgraduate,5,Practice exercises,Time management difficulty,Medium,Online learning is flexible and convenient,Mobile
2368,Graduate,4,Reading notes,Low motivation,Low,Online learning is effective for theory-based subjects,Tablet
2369,Undergraduate,3,Reading notes,Academic workload pressure,Medium,Online learning requires strong self-discipline,Mobile
2370,Graduate,4,Video lectures,Internet connectivity issues,Low,Online platforms provide access to diverse resources,Mobile
2371,Undergraduate,3,Practice exercises,Time management difficulty,High,Online learning is effective for theory-based subjects,Tablet
2372,Postgraduate,3,Recorded tutorials,Low motivation,Low,Online learning is effective for theory-based subjects,Tablet
2373,Postgraduate,2,Recorded tutorials,Difficulty understanding concepts,Medium,Online platforms provide access to diverse resources,Tablet
2374,Undergraduate,6,Reading notes,Academic workload pressure,High,Online learning is effective for theory-based subjects,Tablet
2375,Postgraduate,6,Recorded tutorials,Time management difficulty,High,Online learning requires strong self-discipline,Mobile
2376,Undergraduate,3,Video lectures,Difficulty understanding concepts,Medium,Blended learning is more effective than fully online,Tablet
2377,Graduate,4,Recorded tutorials,Low motivation,Medium,Blended learning is more effective than fully online,Tablet
2378,Postgraduate,4,Video lectures,Lack of concentration,Low,Online learning is flexible and convenient,Mobile
2379,Postgraduate,6,Video lectures,Internet connectivity issues,Low,Online learning is flexible and convenient,Laptop
2380,Postgraduate,2,Video lectures,Academic workload pressure,Low,Online learning is flexible and convenient,Mobile
2381,Graduate,3,Reading notes,Difficulty understanding concepts,High,Online learning is effective for theory-based subjects,Laptop
2382,Undergraduate,1,Practice exercises,Academic workload pressure,High,Online learning requires strong self-discipline,Laptop
2383,Postgraduate,5,Video lectures,Difficulty understanding concepts,High,Online learning is flexible and convenient,Tablet
2384,Undergraduate,5,Practice exercises,Internet connectivity issues,Low,Online learning is flexible and convenient,Mobile
2385,Postgraduate,2,Practice exercises,Low motivation,Medium,Online learning is flexible and convenient,Laptop
2386,Postgraduate,3,Practice exercises,Internet connectivity issues,Medium,Online learning requires strong self-discipline,Laptop
2387,Graduate,3,Practice exercises,Difficulty understanding concepts,High,Online learning is effective for theory-based subjects,Tablet
2388,Postgraduate,3,Interactive discussion,Academic workload pressure,Medium,Online learning is flexible and convenient,Laptop
2389,Postgraduate,4,Video lectures,Internet connectivity issues,High,Online platforms provide access to diverse resources,Tablet
2390,Undergraduate,3,Interactive discussion,Time management difficulty,High,Online learning requires strong self-discipline,Mobile
2391,Undergraduate,2,Interactive discussion,Difficulty understanding concepts,High,Online learning is flexible and convenient,Mobile
2392,Graduate,2,Interactive discussion,Time management difficulty,Medium,Online learning is effective for theory-based subjects,Laptop
2393,Postgraduate,3,Practice exercises,Low motivation,High,Online platforms provide access to diverse resources,Mobile
2394,Graduate,2,Practice exercises,Lack of concentration,High,Blended learning is more effective than fully online,Mobile
2395,Undergraduate,4,Practice exercises,Time management difficulty,Medium,Online learning is flexible and convenient,Mobile
2396,Graduate,3,Practice exercises,Internet connectivity issues,High,Online learning is flexible and convenient,Mobile
